Review,Point
"Quán không gian không có địa điểm ăn tại chỗ, thường phù hợp để mua ăn tại nhà, được cái là tiện lợi khi đi shopping ở vincom và thưởng thức bánh. Mẫu mã của bánh trong tủ khá đẹp mắt nhưng bánh bán lại không đẹp như trong tủ nhìn các loại giống y chang nhau. hương vị thì khá ngọt, ăn giống bánh nếp của Việt Nam chứ không mùi vì đặc biệt của Nhật Bản. Giá cả thì khá đắt với 30k một chiếc bánh nhỏ đường kính khoảng 3cm. Có thể bánh phù hợp với nhiều người nhưng thấy mùi vị khá giống bánh Việt Nam nên không để lại nhiều ấn tượng",4.4
"mình có ord ở đây 2combo bánh mì tiêu đen + coca lớn với bánh mì gà sốt nhật. Nói chung thì bánh mì khá bth nếu ko muốn nói dở, bánh mì gà thì nhạt nhẽo, ăn chả thấy vị gì, còn bánh mì bò thì tạm chấp nhận đc, bò đó ăn ko thì ok, nhưng kết hợp với bánh mì thì mình thấy vị bth ko ra đâu vào đâu. Tổng kết lại thì ngoài mắc ra thì thấy ko gì đặc biệt.
p.s 1: hôm nay tính đặt lại xem có tiến bộ ko mà thấy thu phí dv nên thôi pp luôn ạ 🤗
p.s 2: với giá tiền này ra mua bánh mì Huỳnh Hoa ăn cho lòi mồm ạ 🤧",2.0
"Đặt mỳ gà v mỳ bò về ăn, mỳ quảng ăn được, tô 25k rất đầy đặn, rau trái đầy đủ.",7.6
"Hôm bữa đi ăn 2 phần bún đậu có gọi thêm sữa chua nếp cẩm. Phần sữa chua gọi bị VỮA. Gọi nhân viên thì có 1 chị phục vụ cứ khăng khăng là sữa chua không bị gì. Ủa bộ mình không biết mùi vữa hả? Đến lúc đổi ly khác thì thái độ rất khó chịu, nhăn nhó. Vì cái thái độ ấy mà mất cả bữa ăn ngon. Thề không bao giờ quay lại quán.",1.0
Ăn tô mì cay mà thảm cảnh thật . Mì tôm việt nam chứ Hàn gì đâu . Qua quán Cha Chang ở 72 Thái Phiên Ăn đồ hơi đắc mà giá trị đồ Hàn Quốc luôn . Mình sẽ ko quay lại nữa .,5.0
"Đây là quán chay theo mình nghĩ thì là quán ngon nhất và sạch sẽ, chất lượng nhất Đà Nẵng. Quán bán rất nhiều món và món nào cũng ngon. Đã vậy giá còn rất trung bình 15-20k 1 món. Mình thường tới đây để ăn chay, nói chung rất rất hài lòng về quán.",9.6
"Vào hẳn chính gốc cô Liên ăn xem sao :))
Quán rộng rãi, ngồi vỉa hè khá thoáng bàn ghế đầy đủ không lom khom như ở Hàng Cót 👍
Menu có hơn 20 món làn mình không biết chọn loại nào, cuối cùng lại gọi 2 món ruột thái sầu và thạch s dứa phô mai 🤣
2 món này đều rẻ hơn ở Hàng Cót 5k, bát vẫn to oạch no vật vã. Các loại thạch hay chè khúc bạch khác cũng rất ngon ngậy. 
Tóm lại là địa chỉ nên ghé qua khi tới thăm Đà Nẵng nha các bạn.",8.2
"Đi xem phim trên vincom nên ghé đây ăn dimsum luôn , giá đắt chất lượng bth ko ngon bằng liu chu fang",6.4
mọi thứ đều ổn. chỉ có nước mắm của bánh bèo hơi giống nước đg nên thử trc khi chan nó vào.,9.0
"Lâu lắm rồi mình mới ghé lại quán này ăn sáng. Đợt này toàn dậy trễ nên đi làm vội vội vàng vàng. Được bữa dậy sớm nên quyết định qua đây. Tụi mình đi hai người và gọi 2 phần mỳ quảng ếch. Hôm nay mình không được mang tô đẹp đẹp ra nên chỉ chụp mỗi phần ếch thôi chứ không chụp mỳ trong tô. Mỳ ngon, nước lèo đậm đà thơm lừng mùi nén rất kích thích. Thố ếch siêu nhiều luôn mình mình ăn ếch không mà muốn no mất rồi. Quán bữa nay phục vụ nhanh nhẹ.",7.4
